sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
APY;API;APIAY - FAC;Villavicencio;Meta;Aeródromo;4.0761;-73.5627;FAC;F A C;1800;40;NA;09 | 27;1200;MILITAR;NA;NA;4D;Militar;378;50;50001,,,
ARA;NA;LA RUBIERA;Arauca;Arauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41;81;81001,,,
ARC;NA;PERENCO;Yopal;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;85;85001,,,
ARE;NA;EL CEDRITO -CA;Armenia;Quindío;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;63;63001,,,
ARG;NA;ARAGUANEY;Yopal;Casanare;Aeródromo;5.413;-72.285;SANAR S.A.S;SANAR S.A.S.;850;10;4000;08 | 26;796;705;12/02/2014;42793;1A;Fumigación;10;85;85001,,,
ARO;ARO;ARBOLETES;Arboletes;Antioquia;Aeródromo;8.8394;-76.43;MUNICIPIO;MUNICIPIO;1100;10;6000;02 | 20;13;4381;04/09/2002;NA;2B;Público;5;5;5051,,,
ARQ;ARQ;EL TRONCAL;Arauquita;Arauca;Aeródromo;7.0211;-71.3889;AEROCIVIL;AEROCIVIL;960;12;12202;07 | 25;509;1073;15/09/1969;NA;2C;Aerocivil;70;81;81065,,,
ASA;NA;ASA-COPEY;El Copey;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20238,,,
ATC;NA;ATACO;Ataco;Tolima;Aeródromo;3.5837;-75.3891;MUNICIPIO;MUNICIPIO;800;15;4000;04 | 22;1519;156;23/07/1957;NA;2A;Público;1;73;73067,,,
AUC;AUC;SANTIAGO PEREZ QUIROZ;Arauca;Arauca;Nacional;7.0689;-70.737;AEROCIVIL;AEROCIVIL;2100;30;81 F/B/X/T;11 | 19;418;984;02/02/1987;NA;4C;Aerocivil;25923;81;81001,,,
AUR;NA;EL CORAJE;Ariguaní;Magdalena;Aeródromo;10.0247;-74.067;CAMAGUEY S.A.;CAMAGUEY S.A.;720;15;4000;18 | 36;282;7094;19/12/2013;42752;1A;Privado;30;47;47058,,,
AXM;AXM;EL EDEN;Armenia;Quindío;Internacional;4.452893;-75.767286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48572;63;63001,,,
AYC;NA;LA GLORIA;La Gloria;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;20;20383,,,
BAA;NA;BANCO CAFETERO;Manizales;Caldas;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;17;17001,,,
BAC;NA;BANCO DE LA REPUBLICA;Medellín;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;5001,,,
BAL;NA;INGENIO RISARALDA;Balboa;Risaralda;Aeródromo;4.8948;-75.9044;INGENIO RISARALDA;ING.RISARALDA-ASOCAÑA;250;10;500;04 | 22;3034;2954;20/06/2013;05/08/2015;1A;Fumigación;NA;66;66075,,,
BAN;NA;BANCO LARGO;Nunchía;Casanare;Aeródromo;5.4631;-72.0631;JAVIER CHINCHILLA MUNAR;SFA- LTDA;840;10;2000;13 | 31;692;7056;07/12/2012;42356;1A;Fumigación;NA;85;85225,,,
BAQ;BAQ;ERNESTO CORTISSOZ;Barranquilla;Atlántico;Internacional;10.8896;-74.7809;AEROCIVIL;GRUPO AEROPORTUARIO DEL CARIBE S.A.S.;3000;45;53/R/B/W/U;05 | 23;98;1152;15/05/2015;42139;4E;Aerocivil;125956;8;8001,,,
